organismo,fuente,url_origen,sueldo_bruto,cargo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,214901.0,CON TITULO PROFESIONAL
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,200847.0,CON TITULO PROFESIONAL
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,187717.0,CON TITULO PROFESIONAL
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,175419.0,CON TITULO PROFESIONAL
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,429642.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,397844.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,368400.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,341108.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,315831.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,292389.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,270750.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,250645.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,232086.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,214901.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,200847.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,187717.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,175419.0,CON TITULO TECNICO
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,292389.0,ADMINISTRATIVOS
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,270750.0,ADMINISTRATIVOS
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,250645.0,ADMINISTRATIVOS
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,232086.0,ADMINISTRATIVOS
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,214901.0,ADMINISTRATIVOS
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,200847.0,AUXILIARES
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,187717.0,AUXILIARES
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,175419.0,AUXILIARES
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,163956.0,AUXILIARES
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,697468.0,Directivo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,683261.0,Directivo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,657282.0,Directivo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,655177.0,Directivo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,714185.0,Directivo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,700213.0,Directivo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,611009.0,Directivo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,576444.0,Directivo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,543772.0,Directivo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,501225.0,Directivo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,686474.0,Profesional
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,647652.0,Profesional
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,611009.0,Profesional
