url,text,organismo,codigo
https://minmujeryeg.gob.cl/wp-content/uploads/2023/01/Ministerio-MujeryEG300123.pdf,,Ministerio de la Mujer,MM
https://minmujeryeg.gob.cl/wp-content/uploads/2022/11/Guia-de-Salud-Menstrual-la-tribu.pdf,,Ministerio de la Mujer,MM
https://minmujeryeg.gob.cl/wp-content/uploads/2024/01/Hacia-un-Sistema-Integrado-de-Informacio%CC%81n-sobre-Violencia-Basada-en-Genero.pdf,,Ministerio de la Mujer,MM
https://minmujeryeg.gob.cl/wp-content/uploads/2024/12/Informe-CIF-final-17_12_2024.pdf ,Informe CIF,Ministerio de la Mujer,MM
https://s3.amazonaws.com/gobcl-prod/public_files/Campañas/Cuenta-Pública-2023/CP-sectoriales/Ministerio-de-la-Mujer-y-la-Equidad-de-Genero.pdf,Política de Riesgos Institucional[+].,Ministerio de la Mujer,MM
https://minmujeryeg.gob.cl/wp-content/uploads/2024/03/RESEX-1788-2023.pdf,Definición de responsables y sus roles[+].,Ministerio de la Mujer,MM
https://www.bienesnacionales.cl/wp-content/uploads/2024/03/Caracterizacion-solicitudes-tramitadas-entre-enero-y-diciembre-2023-1.xlsx,Caracterización de Solicitudes Tramitadas entre Enero y Diciembre 2023,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2024/03/Casos-en-Proceso-a-Diciembre-2023.xlsx,Casos en Proceso a Diciembre 2023,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2024/03/Solicitudes-pendientes-de-cobro-vale-vista-devolucion-de-excedentes-a-diciembre-2023.xlsx,"Solicitudes Pendientes de Cobro Vale Vista, Devolución de Excedentes a Diciembre 2023",Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2024/03/Titulos-disponibles-de-entrega-a-Diciembre-2023.xlsx,Títulos Disponibles de Entrega a Diciembre 2023,Ministerio de Bienes Nacionales,MBN
