organismo,nombre,cargo,grado,estamento,sueldo_bruto,fuente,archivo_origen
Ministerio del Trabajo,,DIRECTIVO PROFESIONAL,,Funcionario,341108.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,686474.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,647652.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,611009.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,576444.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,543772.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,501225.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,464060.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,429642.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,397844.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,368400.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,341108.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,315831.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES,,Funcionario,292389.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,686474.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,647652.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,611009.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,576444.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,543772.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,501225.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,464060.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,429642.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,397844.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,368400.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,341108.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,315831.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,PROFESIONALES DL 1.608,,Funcionario,292389.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,429642.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,397844.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,368400.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,341108.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,315831.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,292389.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,270750.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,250645.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,232086.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,214901.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,200847.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,187717.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO PROFESIONAL,,Funcionario,175419.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,429642.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,397844.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,368400.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,341108.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,315831.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,292389.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,270750.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,250645.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,232086.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,214901.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,200847.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,187717.0,ministerio_trabajo,funcionarios_reales.csv
